nasa_id,title,date_created,media_type,keywords,secondary_creator,description,href
PIA16611,Vega: Two Belts and the Possibility of Planets,2013-01-08T22:28:11Z,image,"['Herschel Space Observatory,Spitzer Space Telescope']",NASA/JPL-Caltech,"In this diagram, the Vega system, which was already known to have a cooler outer belt of comets orange, is compared to our solar system with its asteroid and Kuiper belts. The ring of warm, rocky debris was detected using NASA Spitzer Space Telescope,",https://images-assets.nasa.gov/image/PIA16611/PIA16611~thumb.jpg
PIA16614,Simulation of Galactic Collision Simulation,2013-01-10T20:44:02Z,image,['Galaxy Evolution Explorer GALEX'],"NASA Goddard Space Flight Center, after C. Horellou Onsala Space Observatory and B. Koribalski ATNF",Computer simulations of the collision between NGC 6872 and IC 4970 reproduce the basic features of the galaxies as we see them today.,https://images-assets.nasa.gov/image/PIA16614/PIA16614~thumb.jpg
PIA16620,Mare Orientale Flyover,2012-12-05T17:00:13Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",Movie credit: NASA/JPL-Caltech/Sally Ride Science,Mare Orientale Flyover,https://images-assets.nasa.gov/image/PIA16620/PIA16620~thumb.jpg
PIA16622,GRAIL Gravity Tour of the Moon,2012-12-05T17:00:15Z,image,"['Moon', 'Gravity Recovery and Interior Laboratory GRAIL']",NASA/JPL-Caltech/MIT/GSFC,GRAIL Gravity Tour of the Moon,https://images-assets.nasa.gov/image/PIA16622/PIA16622~thumb.jpg
PIA16624,The Sublime Kert&eacute;sz,2012-12-10T18:00:23Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,The Sublime Kert&eacute;sz,https://images-assets.nasa.gov/image/PIA16624/PIA16624~thumb.jpg
PIA16625,A Study in Contrasts,2012-12-11T18:00:23Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,A Study in Contrasts,https://images-assets.nasa.gov/image/PIA16625/PIA16625~thumb.jpg
PIA16626,Blue Rays,2012-12-12T18:00:23Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Blue Rays,https://images-assets.nasa.gov/image/PIA16626/PIA16626~thumb.jpg
PIA16627,As Soft As Velvet,2012-12-13T18:00:23Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,As Soft As Velvet,https://images-assets.nasa.gov/image/PIA16627/PIA16627~thumb.jpg
PIA16628,Broken Fire,2012-12-14T18:00:23Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Broken Fire,https://images-assets.nasa.gov/image/PIA16628/PIA16628~thumb.jpg
PIA16632,"Distribution of Vesta Dark Materials, Southern View",2013-01-03T15:58:03Z,image,"['Vesta', 'Dawn']",NASA/JPL-Caltech/UCLA/MPS/DLR/IDA,"This map shows the distribution of dark materials throughout the southern hemisphere of the giant asteroid Vesta. The circles, diamonds, and stars show where the dark material appears in craters, spots and topographic highs.",https://images-assets.nasa.gov/image/PIA16632/PIA16632~thumb.jpg
PIA16634,Floating Ice on Titan Lakes?,2013-01-08T16:59:01Z,image,"['Titan', 'Cassini-Huygens']",NASA/JPL-Caltech/USGS,This artist concept envisions what hydrocarbon ice forming on a liquid hydrocarbon sea of Saturn moon Titan might look like.,https://images-assets.nasa.gov/image/PIA16634/PIA16634~thumb.jpg
PIA16637,Does this Vial Contain Organics?,2013-01-16T21:44:02Z,image,"['Titan', 'Cassini-Huygens']",NASA/JPL-Caltech,The NASA Astrobiology Icy Worlds team at NASA Jet Propulsion Laboratory are collecting samples from a simulated ocean vent to see if they can detect organic molecules being brewed.,https://images-assets.nasa.gov/image/PIA16637/PIA16637~thumb.jpg
PIA16639,"Storm Head, Meet Tail",2013-01-31T17:55:01Z,image,"['Saturn', 'Cassini-Huygens']",NASA/JPL-Caltech/SSI/Hampton University,This set of images from NASA Cassini mission shows the evolution of a massive thunder-and-lightning storm that circled all the way around Saturn and fizzled when it ran into its own tail.,https://images-assets.nasa.gov/image/PIA16639/PIA16639~thumb.jpg
PIA16640,Exposed,2012-12-18T13:00:21Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Exposed,https://images-assets.nasa.gov/image/PIA16640/PIA16640~thumb.jpg
PIA16644,South Polar Surface,2012-12-21T16:30:42Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,One type of surface seen on the south pole is this wiss-cheese terrain of circular depressions as seen in this image from NASA 2001 Mars Odyssey spacecraft.,https://images-assets.nasa.gov/image/PIA16644/PIA16644~thumb.jpg
PIA16646,Polar Layers,2012-12-25T16:30:42Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,"The south polar cap is comprised of many layers of ice, as seen in this image from NASA 2001 Mars Odyssey spacecraft.",https://images-assets.nasa.gov/image/PIA16646/PIA16646~thumb.jpg
PIA16649,Dunes,2012-12-28T16:30:42Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,This image from NASA 2001 Mars Odyssey spacecraft shows sand dunes on the floor of an unnamed crater near Meridiani Planum.,https://images-assets.nasa.gov/image/PIA16649/PIA16649~thumb.jpg
PIA16650,Lava Channels,2012-12-31T16:30:42Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,The lava channels in this image are located in the Tharsis plains as seen by NASA 2001 Mars Odyssey spacecraft.,https://images-assets.nasa.gov/image/PIA16650/PIA16650~thumb.jpg
PIA16652,Streamlined Islands,2013-01-02T16:30:42Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,The streamlined islands in this image from NASA 2001 Mars Odyssey spacecraft are located in the channel of Marte Vallis.,https://images-assets.nasa.gov/image/PIA16652/PIA16652~thumb.jpg
PIA16660,Daedalia Planum,2013-01-14T16:30:00Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,"This image captured by NASA 2001 Mars Odyssey spacecraft shows a small portion of Daedalia Planun, the result of vast eruptions of Arsia Mons.",https://images-assets.nasa.gov/image/PIA16660/PIA16660~thumb.jpg
PIA16661,A Nursery for Hollows?,2012-12-19T19:00:18Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,A Nursery for Hollows?,https://images-assets.nasa.gov/image/PIA16661/PIA16661~thumb.jpg
PIA16662,Fossae Posse,2012-12-20T19:00:18Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Fossae Posse,https://images-assets.nasa.gov/image/PIA16662/PIA16662~thumb.jpg
PIA16663,And I Feel Fine,2012-12-21T19:00:38Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,And I Feel Fine,https://images-assets.nasa.gov/image/PIA16663/PIA16663~thumb.jpg
PIA16664,How to Locate the Newly Named Craters,2012-12-21T19:00:39Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,How to Locate the Newly Named Craters,https://images-assets.nasa.gov/image/PIA16664/PIA16664~thumb.jpg
PIA16665,North Pole Tidings,2012-12-24T19:00:39Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,North Pole Tidings,https://images-assets.nasa.gov/image/PIA16665/PIA16665~thumb.jpg
PIA16666,A Mercury Christmas Carol,2012-12-25T19:00:39Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,A Mercury Christmas Carol,https://images-assets.nasa.gov/image/PIA16666/PIA16666~thumb.jpg
PIA16667,2012 in MESSENGER Images,2012-12-26T19:00:39Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,2012 in MESSENGER Images,https://images-assets.nasa.gov/image/PIA16667/PIA16667~thumb.jpg
PIA16669,Ring in the New Year to Some Ragtime,2013-01-01T19:00:39Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Ring in the New Year to Some Ragtime,https://images-assets.nasa.gov/image/PIA16669/PIA16669~thumb.jpg
PIA16674,A Tale of Two Terrains,2013-01-08T19:00:39Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,A Tale of Two Terrains,https://images-assets.nasa.gov/image/PIA16674/PIA16674~thumb.jpg
PIA16676,Ring of Fire,2013-01-09T19:00:52Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Ring of Fire,https://images-assets.nasa.gov/image/PIA16676/PIA16676~thumb.jpg
PIA16677,"It All Over Now, Baby Blue",2013-01-10T23:27:52Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,"It All Over Now, Baby Blue",https://images-assets.nasa.gov/image/PIA16677/PIA16677~thumb.jpg
PIA16680,Betelgeuse Enigmatic Environment,2013-01-22T22:28:03Z,image,['Herschel Space Observatory'],ESA/Herschel/PACS/L. Decin et al.,The red supergiant star Betelgeuse center is surrounded by a clumpy envelope of material in its immediate vicinity in this view from the Herschel Space Observatory.,https://images-assets.nasa.gov/image/PIA16680/PIA16680~thumb.jpg
PIA16686,Investigating Curiosity Drill Area,2013-02-09T15:58:01Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,"NASA Mars rover Curiosity used its Mast Camera Mastcam to take the images combined into this mosaic of the drill area, called John Klein, where the rover ultimately performed its first sample drilling.",https://images-assets.nasa.gov/image/PIA16686/PIA16686~thumb.jpg
PIA16690,Protostar LRLL 54361,2013-02-07T18:14:17Z,image,"['Hubble Space Telescope,Spitzer Space Telescope']","NASA/ESA/JPL-Caltech/STScI/NOAO/University of Arizona/ Max Planck Institute for Astronomy/University of Massachusetts, Amherst",NASA Spitzer and Hubble space telescopes have teamed up to uncover a mysterious infant star that behaves like a police strobe light.,https://images-assets.nasa.gov/image/PIA16690/PIA16690~thumb.jpg
PIA16691,Preparing Samples on Mars,2013-02-20T19:55:06Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech,"This figure shows the location of CHIMRA on the turret of NASA Curiosity rover, together with a cutaway view of the device. CHIMRA processes samples from the rover scoop or drill and delivers them to science instruments.",https://images-assets.nasa.gov/image/PIA16691/PIA16691~thumb.jpg
PIA16696,How to Measure the Spin of a Black Hole Artist Concept,2013-02-27T17:50:02Z,image,"['NuSTAR,XMM-Newton']",NASA/JPL-Caltech,"Black holes are tremendous objects whose immense gravity can distort and twist space-time, the fabric that shapes our universe as this chart from NASA NuSTAR and ESA XMM-Newton telescope illustrates.",https://images-assets.nasa.gov/image/PIA16696/PIA16696~thumb.jpg
PIA16700,"Wide View of Shaler Outcrop, Sol 120",2013-01-15T18:18:33Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,"The Shaler outcrop is dramatically layered, as seen in this mosaic of telephoto images from the right Mast Camera Mastcam on NASA Mars rover Curiosity.",https://images-assets.nasa.gov/image/PIA16700/PIA16700~thumb.jpg
PIA16703,Matijevic Hill Panorama for Rover Ninth Anniversary,2013-01-22T21:30:01Z,image,"['Mars', 'Mars Exploration Rover MER']",NASA/JPL-Caltech/Cornell/Arizona State Univ.,"NASA rover Opportunity takes a look at Matijevic Hill, an area within the Cape York segment of Endeavour rim where clay minerals have been detected from orbit.",https://images-assets.nasa.gov/image/PIA16703/PIA16703~thumb.jpg
PIA16704,Matijevic Hill Panorama for Rover Ninth Anniversary False Color,2013-01-22T21:30:02Z,image,"['Mars', 'Mars Exploration Rover MER']",NASA/JPL-Caltech/Cornell/Arizona State Univ.,"This false color image from NASA rover Opportunity takes a look at Matijevic Hill, an area within the Cape York segment of Endeavour rim where clay minerals have been detected from orbit.",https://images-assets.nasa.gov/image/PIA16704/PIA16704~thumb.jpg
PIA16705,Veins in Sheepbed Outcrop,2013-01-15T18:18:36Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,"This image of an outcrop at the Sheepbed locality, taken by NASA Curiosity Mars rover shows well-defined veins filled with whitish minerals, interpreted as calcium sulfate.",https://images-assets.nasa.gov/image/PIA16705/PIA16705~thumb.jpg
PIA16706,Spherules in Yellowknife Bay,2013-01-15T18:18:37Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,This image from the right Mast Camera Mastcam of NASA Curiosity Mars rover shows roughly spherical features.,https://images-assets.nasa.gov/image/PIA16706/PIA16706~thumb.jpg
PIA16709,Matijevic Hill Panorama for Rover Ninth Anniversary Stereo,2013-01-22T21:30:03Z,image,"['Mars', 'Mars Exploration Rover MER']",NASA/JPL-Caltech/Cornell/Arizona State Univ.,"This 3-D image from NASA rover Opportunity takes a look at Matijevic Hill, an area within the Cape York segment of Endeavour rim where clay minerals have been detected from orbit.",https://images-assets.nasa.gov/image/PIA16709/PIA16709~thumb.jpg
PIA16719,"Drill Bit Tip on Mars Rover Curiosity, Head-on View",2013-02-04T21:10:40Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/LANL/CNES/IRAP/LPGNantes/CNRS,This head-on view shows the tip of the drill bit on NASA Mars rover Curiosity. The view merges two exposures taken by the remote micro-imager in the rover ChemCam instrument at different focus settings.,https://images-assets.nasa.gov/image/PIA16719/PIA16719~thumb.jpg
PIA16720,Northern Storm in Full Force,2013-01-31T17:55:02Z,image,"['Saturn', 'Cassini-Huygens']",NASA/JPL-Caltech/SSI/Hampton University,This mosaic of images from NASA Cassini spacecraft shows the trail of a great northern storm on Saturn raging in full force. The contrast in the images has been enhanced to make the turbulent parts of the storm in white stand out.,https://images-assets.nasa.gov/image/PIA16720/PIA16720~thumb.jpg
PIA16721,First Chapter of the Northern Storm,2013-01-31T17:55:03Z,image,"['Saturn', 'Cassini-Huygens']",NASA/JPL-Caltech/SSI/Hampton University,This mosaic of false-color images from NASA Cassini spacecraft shows what a giant storm in Saturn northern hemisphere looked like about a month after it began. The bright head of the storm is on the left.,https://images-assets.nasa.gov/image/PIA16721/PIA16721~thumb.jpg
PIA16729,First Curiosity Drilling Sample in the Scoop,2013-02-20T19:55:15Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,NASA Curiosity rover shows the first sample of powdered rock extracted by the rover drill. The image was taken after the sample was transferred from the drill to the rover scoop.,https://images-assets.nasa.gov/image/PIA16729/PIA16729~thumb.jpg
PIA16734,Magnetic Field Line Pile-Up Artist Concept,2013-02-12T21:20:40Z,image,"['Sun', 'Voyager']",NASA/JPL-Caltech,This artist concept shows NASA Voyager 1 spacecraft in a new region at the edge of our solar system where the magnetic field lines generated by our sun are piling up and intensifying.,https://images-assets.nasa.gov/image/PIA16734/PIA16734~thumb.jpg
PIA16738,"Outbound Near-Earth Asteroid, as Seen from Spain",2013-02-15T23:32:22Z,image,"['Asteroid', 'Astronomical Observatory of Mallorca']",Courtesy of La Sagra Sky Survey,"This set of images from the La Sagra Sky Survey, operated by the Astronomical Observatory of Mallorca in Spain, shows the passage of asteroid 2012 DA14 shortly after its closest, and safe, approach to Earth.",https://images-assets.nasa.gov/image/PIA16738/PIA16738~thumb.jpg
PIA16739,Cassini at Saturn Bow Shock Artist Concept,2013-02-19T21:10:01Z,image,"['Saturn', 'Cassini-Huygens']",ESA,This artist impression by the European Space Agency shows NASA Cassini spacecraft exploring the magnetic environment of Saturn. The image is not to scale.,https://images-assets.nasa.gov/image/PIA16739/PIA16739~thumb.jpg
PIA16740,Raditladi Rings,2013-01-14T22:07:21Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Raditladi Rings,https://images-assets.nasa.gov/image/PIA16740/PIA16740~thumb.jpg
PIA16742,Fracture,2013-01-15T16:30:14Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,This image from NASA 2001 Mars Odyssey spacecraft shows a small portion of a east/west trending fracture in Thaumasia Planum.,https://images-assets.nasa.gov/image/PIA16742/PIA16742~thumb.jpg
PIA16746,Dittaino Valles,2013-01-21T16:30:14Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,This image from NASA 2001 Mars Odyssey spacecraft shows a portion of Dittaino Valles.,https://images-assets.nasa.gov/image/PIA16746/PIA16746~thumb.jpg
PIA16752,Oblique Origins,2013-01-15T19:00:01Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Oblique Origins,https://images-assets.nasa.gov/image/PIA16752/PIA16752~thumb.jpg
PIA16755,A Toast to Dear Old Poe,2013-01-18T19:00:01Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,A Toast to Dear Old Poe,https://images-assets.nasa.gov/image/PIA16755/PIA16755~thumb.jpg
PIA16758,Over the Hills and Far Away,2013-01-23T19:00:01Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Over the Hills and Far Away,https://images-assets.nasa.gov/image/PIA16758/PIA16758~thumb.jpg
PIA16762,Before-and-After Blink of Curiosity Mini Drill into Mars Rock,2013-02-07T20:39:17Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,A blink pair of images taken before and after NASA Curiosity performed a mini drill test on a Martian rock shows changes resulting from that activity.,https://images-assets.nasa.gov/image/PIA16762/PIA16762~thumb.jpg
PIA16764,"Curiosity Rover Self Portrait at John Klein Drilling Site, Cropped",2013-02-07T23:23:45Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,"This rectangular version of a self-portrait of NASA Mars rover Curiosity combines dozens of exposures taken by the rover Mars Hand Lens Imager MAHLI during the 177th Martian day, or sol, of Curiosity work on Mars Feb. 3, 2013.",https://images-assets.nasa.gov/image/PIA16764/PIA16764~thumb.jpg
PIA16765,Laser Hits on Martian Drill Tailings,2013-02-13T23:33:08Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/LANL/IRAP/CNES/LPGNantes/IAS/CNRS/MSSS,"A day after NASA Mars rover Curiosity drilled the first sample-collection hole into a rock on Mars, the rover Chemistry and Camera ChemCam instrument shot laser pulses into the fresh rock powder that the drilling generated.",https://images-assets.nasa.gov/image/PIA16765/PIA16765~thumb.jpg
PIA16767,Visualization of Buried Marte Vallis Channels,2013-03-07T18:50:35Z,image,"['Mars', 'Mars Reconnaissance Orbiter MRO']",NASA/JPL-Caltech/Sapienza University of Rome/Smithsonian Institution/USGS,This illustration schematically shows where the Shallow Radar instrument on NASA Mars Reconnaissance Orbiter detected flood channels that had been buried by lava flows in the Elysium Planitia region of Mars.,https://images-assets.nasa.gov/image/PIA16767/PIA16767~thumb.jpg
PIA16768,Mount Sharp Panorama in White-Balanced Colors,2013-03-15T20:25:01Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,This mosaic of images from the Mast Camera Mastcam on NASA Mars rover Curiosity shows Mount Sharp in a white-balanced color adjustment that makes the sky look overly blue but shows the terrain as if under Earth-like lighting.,https://images-assets.nasa.gov/image/PIA16768/PIA16768~thumb.jpg
PIA16769,Mount Sharp Panorama in Raw Colors,2013-03-15T20:25:02Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,"This mosaic of images from the Mastcam onboard NASA Mars rover Curiosity shows Mount Sharp in raw color. Raw color shows the scene colors as they would look in a typical smart-phone camera photo, before any adjustment.",https://images-assets.nasa.gov/image/PIA16769/PIA16769~thumb.jpg
PIA16770,Crazy Kertesz,2013-01-25T19:00:38Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Crazy Kertesz,https://images-assets.nasa.gov/image/PIA16770/PIA16770~thumb.jpg
PIA16775,Eject! Eject! Eject!,2013-01-30T21:31:50Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Eject! Eject! Eject!,https://images-assets.nasa.gov/image/PIA16775/PIA16775~thumb.jpg
PIA16780,Holden Crater Dunes,2013-01-30T16:30:40Z,image,"['Mars', '2001 Mars Odyssey']",NASA/JPL/ASU,The small dark dunes in this image captured by NASA 2001 Mars Odyssey spacecraft are located on the floor of Holden Crater.,https://images-assets.nasa.gov/image/PIA16780/PIA16780~thumb.jpg
PIA16785,Off-Central Peaks,2013-02-05T19:00:00Z,image,"['Mercury', 'MESSENGER']",NASA/Johns Hopkins University Applied Physics Laboratory/Carnegie Institution of Washington,Off-Central Peaks,https://images-assets.nasa.gov/image/PIA16785/PIA16785~thumb.jpg
PIA16798,Mast Camera and Its Calibration Target on Curiosity Rover,2013-03-18T17:08:09Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS/ASU,"This set of images illustrates the twin cameras of the Mastcam instrument on NASA Curiosity Mars rover upper left, the Mastcam calibration target lower center, and the locations of the cameras and target on the rover.",https://images-assets.nasa.gov/image/PIA16798/PIA16798~thumb.jpg
PIA16800,"Raw, Natural and White-Balanced Views of Martian Terrain",2013-03-18T17:08:11Z,image,"['Mars', 'Mars Science Laboratory MSL']",NASA/JPL-Caltech/MSSS,These three versions of the same image taken by the Mast Camera Mastcam on NASA Mars rover Curiosity illustrate different choices that scientists can make in presenting the colors recorded by the camera.,https://images-assets.nasa.gov/image/PIA16800/PIA16800~thumb.jpg
